id,name
4942523,Huge Room  15 min to Grand Central
6480042,NEW LUXURIOUS BEDROOM
14605243,Queens Style Room in a convenient Sunnyside home.
15129443,Comfy Shared LivingRoom near NYC
8313551,Recently renovated private floor
4118907,Charming 2-Bedroom Townhouse Apt
3677769,Beautiful Large Sunny Bedroom
15783413,Classic 3 Bedroom & 2 Full Bath Apartment
9147025,Cozy City Island Cottage
7949480,City Island Sanctuary relaxing BR & Bath w Parking
6627449,Large 1 BDRM in Great location
5557381,Quaint City Island Home
1886820,Quaint City Island Community. 
16042478,WATERFRONT STUDIO APARTMENT
15220538,Airy and Peaceful Room and Bath in Victorian Home
3943387,Cozy City Island Room/Private Bath
11675715,Cozy 1 BR Basement Apartment
3400359,Awesome Deal NYC
773041,Nice beautiful room In the Bronx
759901,GREAT PRICE for GREAT GUESTS ONLY
9513511,"Beautiful, spacious, and sunny!"
5046189,Peace & Tranquility
13864221,"Live, Love, Stay in the Bronx!"
14126631,Cozy room in Shared apartment near Bronx Zoo
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE
16604416,Quiet peaceful studio apartment
4407790,Retreat Room
715270,2 Beds/Queen & Full Beautiful Room 40 minsT.Square
10801360,Studio near BX Botanical Garden
182177,PRIVATE FLAT / APARTMENT- $SPECIAL$
17876530,Spacious Garden Apartment
8294259,Private Room in House(Queen Bed)  by Montefiore
5647069,THE ROOM by Christian and Carla
13109017,Large Private Room! w. Lock
12496118,Entire Home in NYC- 1 bedroom
3435196,"Cozy and Cool, Beautiful Old Brick!"
4462008,Twin  room
3429765,Sunny Private Room
14421275,"Bright, Cozy Room"
11670639,Sunny Apartment with a balcony
1841252,Cozy two bedroom in trendy Astoria
11301089,Entire Apartment (Furnished) 2br in Astoria !
308148,Chick &  Clean @ Astoria Park
5041360,"Room in Astoria, 5 min "
14120188,Charming courtyard apartment!
771436,3BR/3 Bath House in Astoria
876792,Private Room 15 min. to Manhattan
1821973,"Astoria only one block from N,Q"
6677008,Comfy Room for A Good Rest
17555810,Double futon in the heart of Astoria
12836344,Be My Roommate!
2745140,Astoria Room 20 min To Manhattan
13491197,"Beautiful, sun filled room in newly renovated apt"
11641041,3 Bedrooms - Spacious & Close to Subway!
16707621,NYC! Cozy 1 Bd Apartment in Astoria
13492036,"Beautiful 1 bedroom in Astoria,Queens"
17684828,Amazing Astoria New York 2 bedroom 10 min to NYC
5232121,".Safe, cozy & minutes to NYC"
15530531,Apartment in Heart of Astoria Step to the Train!!!
15323135,"Simple, clean, own bedroom in Astoria, NY"
8507328,"MIDTOWN, MANHATTAN,COLONIAL,ROOM"
15716189,Comfy private room in great Astoria neighborhood
10735397,Modern two bedroom in Astoria
9555648,Groundfloor APT-15 min Central Park
2738965,3 BEDROOM Apartment-Walk to Subway!
4377221,Charming Room 20 Mins to Manhattan
3250448,Clean and Modern Apartment in Calm Area.
6670064,New Modern Apartment with Amenities
6441936,Clean and Comfortable Home 15 mins to Central Park
15581667,Astoria Diamond
12305625,Convenient Astoria Apartment
13616247,Cozy room in heart of Astoria
15843416,Cozy|Warm|Flat
3383516,Great room with private bathroom
8145603,"Spacious, Beautiful, Private Room"
3710697,Large Room 25 min from Central Park
10526346,Large Room in Astoria NEXT to PARK!
4211510,Clean Astoria Room 20minToManhattan
12956315,Spacious Astoria 2BR: 20min to city
16231738,Cozy 2BD Apartment - 10 Minutes to Manhattan!
4169094,"Private Room in 2BR amazing Location (quiet,sunny)"
764052,1 Bedroom Apartment in quiet area.
239733,Astoria Garden Suite
3835681,"Great location, new lower rates!!!"
15899509,Beautiful 1 bedroom apartment
8365172,BEST Location in Heart of Astoria!!
12972200,The best of Astoria
13889399,Great 3 Bedroom Apt  Near Manhatthen
9825967,Economical One Bedroom Apt in NYC!
3644017,Cute & cozy room in Astoria
7859360,Cozy and Private Room in Heart of Astoria
15985837,"""ALL AT HAND"" Astoria"
5893277,Enjoy Views of NYC Skyline  
9698613,"1 Bedroom Sublet in Astoria, NY"
10218475,Duplex 2BR House 16 min Manhattan
6398715,Studio!Astoria station in 3min!
14788009,Chris' Cozy Cave!
14021937,Sun lit charming prewar 1 bedroom
3929317,Comfy room minutes from Manhattan!
13101001,"Medium, Sunny, Quiet private room"
10220418,Duplex 2BR House - 15 min Manhattan
17368490,Georges 2 Bed. - 10 Min. to Manhattan!
3354829,Charming Astoria 1 Bedroom
17105285,NICE ROOM CLOSE TO SUBWAY
14352688,"Cozy One Bedroom in Historic Astoria, NY"
2896760,"Safe, cozy & minutes to NYC"
17367926,Donat Apartment close to everything
7679091,Cozy home 5 mins from LGA AIRPORT
7679094,Bright and Airy Astoria Loft
13575399,Astoria blvd clean cute resting haven
4772987,Queen size bedroom. 15 min to NYC
17234796,Astoria 2BR in Quiet Corner Close to Manhattan
15568588,15mins to Manhattan.Clean and cute!
16860045,2 bedroom close to nyc Wifi
15437290,Luxe 2 Bedroom 2 Bathroom comfy quiet
12685531,Ground Floor studio-16min Manhattan
12423371,Private Basement Studio in Astoria
494208,Heart of Astoria/ 15 mnts to Mnhttn
12814991,Skyline View From Every Room
13601150,Just 15 mins away from midtown
9275453,"Spacious House, 20 min to Manhattan"
7788504,Large Private Room in House w/Yard
17137653,astoria
17137576,The Whole Astorian's ArtPAD
13991331,Astoria Queens NYC Studio Basement
16465775,A bed in a shared room
12155998,Newly renovated Modern 2 and 1/2 BD
4550494,"1BR Quiet, Convenient, SPACE"
16814700,Luxe 3 Bedroom 3 Bathroom 2 Livingroom Comfy Quiet
13202799,Adorable Astoria Room Fit for a Queen!
17134130,Perfect sublet in Astoria 5 min WALK TO TRAIN!
5992686,Private Turquoise Room in Astoria
16579772,Come stay in living room
10685496,"Cozy shared space, heart of Astoria"
9505762,PRIVATE ONE BEDROOM APARTMENT
1940906,Lovely Astoria Apartment!
11625684,Astoria Suite - 20min to Manhattan
13330683,Discover NYC from Astoria Queens
3499016,House 1 Bed $100/ night per person
16999426,Beautiful Large Private Apt in Amazing Neighbrhood
9452237,2 BED STEP TO THE TRAIN
15949843,COMFORTABLE & CONVENIENT
1063678,Private Bedroom-15min to Manhattan
12147125,Beautiful & spacious 2-bedroom Astoria retreat
13040683,Airy livingroom in quiet restaurant neighborhood !
11098211,Lovely warm place in New York City
16975094,Entire beautiful apartment-Astoria
17606942,Astoria Park Spacious 2 Bedroom 10 min to Subway
7557546,Charming 2bdrm Minutes to Manhattan
5328633,Beautiful Spacious Home in New York
2836845,Old World Elegance in Astoria!
2051499,Elegant 1 Bed.-10 min to Manhattan
8194426,Apartment B&B - The Patitsas Family
8209746,CHARMING SPACE IN ASTORIA - NY
8096877,Homey Brand New Room
8079482,Great apartment on lovely street
16451680,Charming bedroom in best area!
17382781,Spacious beautiful bedroom:)
2440357,"New construction, close to subway"
14090966,Beatiful Greek Astoria. 30 mins to the city
1114788,Astoria Heights Gorgeous Bedroom
13055480,Gorgeous Sunny Apartment in Astoria
12630490,NEW - 2 Bed. 10 Min. to Manhattan!
4392596,Great room in a 2 BD apartment
7254864,Gorgeous and cozy apartment 15min Manhattan
4645841,"Beautiful 1BDR, 20min to Times Sq"
13941210,Bright Astoria Apt Near Manhattan
10283574,Apt next to Astoria park
14215061,Cozy Room in Astoria
7385692,"Huge 1 bdr, convenient location!"
12188882,1 Private BR - 15min from Manhattan
6480685,"Cozy,  single bed room.15min to NYC"
6611592,Modern 2 bedroom apt-great location
8316959,Sun-soaked Oasis in Astoria.
16179103,1 bedroom in Astoria near Manhattan
57166,Elegant NYC Pad
14856378,‰÷ÉSpacious 3 bedrm‰÷É Astoria Park | ‰_ of NYC | ‰÷É‰÷É‰÷É‰÷É‰÷É
13676889,The Astorian's Artist Pad
12377755,Beautiful Bedroom for 2 by the Park
15392868,FURNISHED PRIVITE ROOM
8444555,NYC Astoria affordable private room
5036261,LARGE ROOM IN A GREAT NEIGHBORHOOD
4772857,"lrge queen size room,newly decorat"
10192697,Astoria Heights Gorgeous Bedroom
14338437,Cozy 1 Bedroom Trendy Astoria
15126483,Kitschy Corner Bedroom on quiet Astoria block
16297921,"Large Private Bedroom, 20 min from Times Square"
4376618,Beautiful Room For Rent in Astoria 
9351013,"Boutique Living, 10 min from NYC"
577324,Room in Astoria 25 min to Central Park
16041386,"Studio, 15' to Manhattan, Great Neighborhood"
12067200,"Great room available in Astoria, NY"
16302869,Modern & Cozy Room in Elegant Apt in Astoria
6168880,Spacious 1 bedroom 5 min from N & Q
11192104,Charming Cozy Master Room @ Ditmars
10928176,Ditmars Charm
4767748,"Apt in Astoria, Queens.15min to NYC"
16827715,Private One Bedroom/5 min. walk to train
3718951,Charming Room close to LAG Airport
8830586,Astoria Duplex Gem
1097341,Private Room-10 Min. from Manhattan
6472275,"Cozy,newly furnished room inAstoria"
10136508,Charming private room in Astoria-20 min to Midtown
15641528,Amazing 1 Bed. - 10 Min. to Manhattan!
15646624,Private Bedroom With Private Bath Near LGA Airport
14855080,Astoria Expansive and Glowing 2-Bedroom Treasure
6208444,Apartment in Astoria
7927466,"A Little Apple Tree House, Astoria"
17480119,"Beautiful, quiet, full-size bedroom"
17624190,"BRAND NEW, COZY, WATERFRONT,1 BEDROOM APT"
13427702,Cozy Room for 2 in Astoria!
10357730,Live like a local in Astoria Queens
7168652,5 mins to LaGuardia/30 to Manhattan
6556561,2br Apartment
13388649,Spacious & Beauitful Home - AWESOME location
15484134,"room/kitchen/living room access, mins from nyc"
8143851,Huge Beautiful Bedroom - Astoria
8391132,NYC La Guardia Master Room
11624694,Newly Furnished 1BD Near Train!
1209955,The Green Room: Snug in the City
1981410,Spacious 1 bed near train!
17447788,Astoria Ditmars Private apartment w full kitchen
12455130,Ground Floor Studio-15min Manhattan
5127571,Beautiful sunny bedroom in Astoria
6043315,Cozy Private Red Room in Astoria
16268863,"Private, sunny room 20 mins from Manhattan"
5805232,Comfortable room near everything
8663722,"1 br in beautiful Astoria, Queens"
14824090,"Clean, Charming, Sunlit Space in Astoria"
6555427,"Inviting,sunny grdn 15 min to Manhattan"
13512004,Big bright bedroom with desk available in Astoria!
12855808,1BR in Astoria 15 mins. to NYC ~
1581579,Lux & Spacious Astoria | ‰_ of NYC New York | ‰÷É‰÷É‰÷É‰÷É‰÷É
2745620,Small Room Astoria20minToManhattan
13543975,Homey 1 Bed Hideaway in Astoria
16427245,Beautiful private room by N/W subway in Astoria
6595943,Cozy 1 bedroom in a quiet neighborh
3043548,Pravate 1 bedroom apartment
16426099,All season studio in Astoria
10789911,One Bedroom in Astoria
11968958,Beautiful studio
13922056,Cozy comfortable Astoria apt sleeps 3
17604780,Astoria Park/10 minutes NYC Subway/MBR 15 min LGA
8953050,Beautiful private studio
17603772,Astoria Park / Bedroom for Minimum 2 Person
6067536,Private Grey Studio in Astoria
14587187,Big 2 bedroom Astoria close to train
13276320,Beautiful place sunny and quite
14294685,"Sweet home away from home in Astoria, Queens"
16159160,Astoria Queens  -Spacious Studio -Safe School Zone
6357564,COZY near the Big City Room 2
15896449,Sunny and spacious room
13331735,Discover  NYC from Astoria Queens
16027061,NYC finest apartment facing Easter River View!!!
6196265,Charming House in Astoria
9997006,Sunny and cozy Astoria room!
14163104,Cozy studio sleeps 4 in Astoria NYC
8686361,Elegant Queen size bed room.
13927922,Gorgeous and Cosy Studio in Astoria!
9078187,Perfect 1BR 13 Min to Manhattan
6292515,Big private room 15m to Manhattan
14162899,Manhattan skyline views in Astoria
3835757,...New lower rates for low season!!
10360144,Live like a local in NYC!
9182008,Huge beautiful 2 bedroom Apt in BEST Area
16679726,New & Modern 1 Bed. 10 Min. to Manhattan!
4357134,Beautiful NY Gem
11434386,Private Bedroom + small livingroom.
8681776,"20 Mins to Manhattan, 7 mins LGA"
9730168,Spacious 1BDR Close to Manhattan
16545876,Ditmars Bedroom
16545714,Ditmars Bedroom
15336336,"Clean, Bright 1BD in Trendy Astoria"
14968955,Luxe King+Private Bath comfy quiet Astoroia
9859181,2 bed/3 bed with parking
13922394,Rent Comfortable 1 Room in Astoria. 12/12 to 01/19
12845943,Fully Furnished Room in Quiet Apt
15900882,Large one bedroom with a homey feel
7631233,Room at astoria
9595836,LargeRoom Astoria20min to Manhattan
15757847,Cozy Top Floor Apartment in Lovely Astoria
13919842,3 bedroom apartment in the heart of Astoria
12851100,new studio 20mins from Manhattan
1578776,Nice private room in Astoria
16542227,"2bd apt w/yard in Astoria, 10 mins from Manhattan."
14181211,"Comfy 1-Bedroom, Just a block from the Subway!"
16146960,Centrally located Astoria Apartment
4874722,"Private room in Astoria, near train"
8392882,Twin XL beds +Private Bathroom
12607802,NEW - 1 Bed. 10 min. to Manhattan!
8392760,NYC Near to Midtown Manhattan Sunny Private Room
17962239,AMAZING ROOM IN ASTORIA
12867950,Beautiful summer sublet in Astoria
13392143,Astoria: 2 Weeks July 1st - 14th
679633,Cozy 1 bedroom apartment in NYC
16015050,Prime locantion*10min to Manhattan*Large QuiteRoom
12998169,COZY & CHARMING ONE BED ROOM APARTMENT
6706703,"Cheap, basic room"
16536983,Ditmars Apartment
11162977,Beautiful room by Astoria park
8393016,HOME SWEET HOME COZY ROOM
2756886,Cozy Room Astoria20minTo Manhattan
6950074,"Beautiful, Cozy Apartment"
13127582,One bedroom in Beautiful Astoria with balcony!
15404578,Astoria Diamond
12864971,Large Studio Seconds From NYC
8741446,"Clean, inviting apt.15min to NYC"
8783113,COZY near the Big City Room 1
15512508,Beautiful private room within 4 bedroom house
15512391,Beautiful 4 bedroom house.
4724661,Walk to the Beach- Private Studio  Apt
17716179,Quiet Artists House in Brooklyn
16771876,Delight in Your Home Away from Home in NYC!
1739847,Welcome to a beautiful Quiet Bronx.
8402207,Comfy bedroom minutes to Manhattan
11695338,Quiet and Modern Haven in NYC
17960424,"1 bedroom, private entrance/Private house"
4830154,"Furnished room with Bed, Closet, TV"
7725825,COMFORT 25 MINS FROM NEW YORK
391948,Quad Room
4053987,Small Private Room for 1 person
15058410,Spacious 1BD Luxurious room in Queens NYC
13224318,öÕŽÛâŒ¥¾öÀ
9944320,Nice Spacious Room for a Month
17149677,Studio apartment
11315644,"Warm&Cozy 1 BR,Near JFK& J,A Trains"
6023683,Family house in a heart of Qeens
2685940,Charming Private Studio with Garden
14885346,"Cozy apt by airport, A train JFK"
11474664,Family-friendly 2 bed apt.near Manhattan
17403646,$55 per night
15429147,SPACIOUS 3 BEDROOM SLEEPS 7 - JUST 25 MINS TO NYC
17366174,"Modern & Luxurious 1 Bedroom, close to A/J Trains!"
11496210,Sunny family-friendly 1 bed. apt near Manhattan
5204719,LOVELY 2 PRIVATE BEDROOMS
6940110,Shared or Private room for rent
15008979,Cozy Room near Casino and Metro
8867271,Private Clean Bed Room Close 2 All
15024889,WELCOME FAMILY 2 BED APARTMENT
13153356,Private Large bedroom in a 2 Story Home(2nd floor)
13953640,Private apartment 45 min away from the city
12377603,"Pool, Hot Tub, Garden, 2B/1Bath"
2477138,Private Room: The cheapest deal!!
4982699,Two Bedroom Apartment
2371632,"Great 1 Br Apt, Ozone Park, NYC"
6032118,Spacious room NYC Rm 2 JFK & Subway
5094957,"Cozy room from New York, NY, JFK #1"
13265829,Cozy 1 BRM Studio Basement Apartment
6576336,Private Cozy studio newly renevated
4853647,Modern & luxurious close to trains
13359647,Budget Room in large apartment (Solo Travelers+)
8756017,BronxHattan
12955940,"large, affordable, clean,convenient"
10332161,A large sunny bedroom
16065265,Modern Bronx Treasure!
16195143,"Spacious RM in Private Home, Backyard/Near Metro"
16351193,Warm RM in Private Home with Backyard Near Metro
15300956,Victor's Plaza
17529164,Large Room with Private Bathroom (St. Barnabas+++)
16071170,Sunlight spacious TWO bedroom
16337106,Beautiful Room in Private Home Backyard/Near Metro
13688739,Comfy Cave Inn
13810918,Good Vibes Sanctuary
12988898,Buena. Calidad.
16814803,Cozy RM in Private Home with Backyard/Near Metro
16814973,Comfy RM in Private Home with Backyard/Near Metro
16814382,Large RM in Private Home with Backyard/Near Metro
17045788,Cute RM in Private Home with Backyard/Near Metro
17045488,Huge RM in Private Home with Backyard/Near Metro
4347219,"A place to stay, well worth it."
9652624,Beautiful room quiet neighborhood
15176641,Near transportation private room
11378146,Large room with separate entrance
2698984,Huge Modern Waterfront Home
16735023,College Point(Whitestone)Dorm
15345966,WHITESTONE-QUEENS
15099391,Best house to live
13563764,"Clean, Safe & Convenient Apartment...NYC by Train"
5125445,One bedroom condo in Staten Island
6867897,TwinSize Bed-with SimpleBreakfast in Private House
6314389,QueenSize Bed w.Simple Breakfast in Private House
259946,"Budget stay, near transportation"
17716523,20 Minutes from Manhattan  Apartment by the Beach
258838,"Oceanview,close to Manhattan"
16087737,Best Room near All.
738588,"Wedding guests accommodations, etc."
4981857,1  bedroom plus private bath
6074499,NYC Luxury Ocean front Modern
15910991,House
6031948,Newly Renovated NYC apartment
17971822,"Modern , 1 Bedroom Apartment"
16123943,"1BR 2nd floor, house"
17073870,Bed and Breakfast by the Beach
16155769,Manhattan and nature - all close ..
16650268,Private Studio in New York City close to Manhattan
7996391,Lovely Room
14610300,DRIFTER INN Rockaway Beach
16244553,"Modern Private Studio for 2 in Arverne, Rockaway"
17554131,Rockaway Summer House - Yoga & Meditation
13752815,"Bright, Spacious Home Near Beach & Subway"
14426371,Room available by Rockaway Beach
2476456,Cozy Studio by the Beach
14796074,ELEGANT NEW HOME @ ARVERNE BY THE SEA NEAR JFK
15839869,Brand New Luxury Private Studio by JFK
15311833,"Ideal vacationing spot for beach lovers, near JFK"
15597266,Beautiful home near beach & JFK!
16251872,Room available in beach front property in Arverne.
16449771,"Simple, Cozy Private Room Near Beach & Subway"
8135403,"peaceful,near the beach and train"
13316290,DRIFTER INN Rockaway Beach
13316222,DRIFTER INN Rockaway Beach
7664991,Lanie So
13316073,DRIFTER INN Rockaway Beach
9886514,Unique Far Rockaway House Boatel
15800729,DRIFTER INN Rockaway Beach
14124508,Boardwalk Retreat
3506399,"Serene,clean beach home"
6520350,The Kook House  - Rockaways BEST Summer House!!
7043746,2 block walk from the beach in NYC
13332509,DRIFTER INN Rockaway Beach
16082923,Modern Bungalow Escape
16604081,"Private room w/ TV, close to JFK and NYC subway"
16601950,DRIFTER INN ROCKAWAY BEACH
16601901,DRIFTER INN ROCKAWAY BEACH
16601770,DRIFTER INN ROCKAWAY BEACH
16601720,DRIFTER INN ROCKAWAY BEACH
16601611,DRIFTER INN Rockaway Beach
16601447,DRIFTER INN ROCKAWAY BEACH
14110407,Relaxing Ocean Front Beach Home in Arverne!
581542,Escape to our Great Beach Getaway
12124688,Cozy Bungalow Arverne by the Bay!
14602478,DRIFTER INN Rockaway Beach
16703220,Surfin' the City
7894007,MyPlace2Beach
13556488,sunny room one block from the beach
14733074,Charming Room in a Ranch Style Home !
14602831,DRIFTER INN ROCKAWAY BEACH
3852261,SUNNY ROOM FOR TWO @ ELEGANT HOME NEAR JFK
14730814,DRIFTER INN Rockaway Beach
14609501,DRIFTER INN Rockaway Beach
14610148,DRIFTER INN Rockaway Beach
17317205,Basement Beach & Surf Bungalow
6044964,Beach Lovers Dream!
12205604,"PRIVATE SUITE FOR FOUR @BEACH, JFK"
6184285,Rockaway Beach Floating Cabin
1684053,Cozy Bungalow in Arverne By The Bay
14856957,"PRIVATE SUITE FOR SIX @ JFK, BEACH"
16254609,"Sunny, Spacious House by the Beach"
13674147,"Rockaway Royal,  Beach/ Bay -NYC!"
12829824,Large Oasis by the Beach
6865675,Comfort 2 bedrooms around JFK
12489666,Roof-Top Terrace Room
1215627,Floating Cabin Houseboat Rockaway
14843072,Houseboat Hideaway
6585028,ROOFTOP TERRACE ROOM @ ELEGANT HOME NEAR JFK
6576463,PARK VIEW ROOM @ ELEGANT HOME NEAR JFK
16543067,3 bedroom in Rockaway Beach NYC
5009768,Surf Central In Rockaway Beach
13527085,Private room at the Beach in NYC
13005376,Comfy Terrace Room
15492820,"___µ_____¡_«„Ä __á„Û___À__„Û„â, _À_È„_¦, „_µ„Û„ã_ü____ _À_È„_¦"
13113064,Cozy Comfy Suite of Rockaway Beach
7734034,Ocean view studio with balcony
13657292,"Rockaway Beach House, Quick to JFK!"
13525009,NYC Private room by Beach
13243578,DRIFTER INN Rockaway Beach
13524592,Beachside Room in NYC for relaxing stay
16253413,"Private Bath, Cozy Sunset Terrace Room"
13914735,Beautiful two bedroom apartment in beach home
12211396,Sunny vacation to Rockaway Beach
13631870,DRIFTER INN
12066474,Charming 1 BR 10 min into Manhattan
16130382,Holiday Gateway in New York City
9821359,"Adorable, quiet Astoria apartment"
4658860,Astoria Queens great room for rent!
843003,Modern 2 Bedroom Balcony Apartment
242479,Cozy NYC room 25min to Times Square
8505031,F2 astoria libre
8908388,Cozy space for the summer.
6002382,Cozy room in Great Neighborhood
12833275,Room in Astoria! Welcome!
8648668,Single room in Heart of Astoria
13623747,Spacious studio in NEW apt building in Astoria
2727166,Cozy Room by Kaufman Studios
14148388,One bedroom in Astoria close to subways
16376563,1 BR in 2 BR Apt with Excellent City View
16374819,Cozy and Modern apartment in Astoria
6544315,Lovely room in two bed apt.
14932920,Large Room and Living Space in central Astoria NY
4710310,GREAT ROOM IN ASTORIA QUEENS
5682277,One bedroom in a shared apt.
2465962,1 BEDROOM ENTIRE HOME/APT‰_ ASTORIA
9164910,Entire Big Studio & BackYard
11262090,STAY FOR SHORT AND LONG TERM / WELCOME TO NEW YORK
14110395,PERFECT BEDROOM only 30 minutes from Times Square!
2086732,"10 minutes from Manhattan ,NY"
1300216,Astoria Apt 2.5 Blocks from 30 Ave N/Q Subway Stop
16897705,A private room in Astoria 30ave
9674869,Cozy room in Chic Apt Astoria NY
2087663,"Chic, neat & cozy small 1 BR Apt"
16767691,Charming room with private half bath in Astoria.
13359798,large 1 bedroom apt with private balcony Astoria
645693,Beautiful Room / Next to Subway 
4839932,"Super spacious cozy one-bedroom apartment, Astoria"
17815011,Nice room 20 minutes from NYC!
7053353,Large PB w/ Half Bath in Astoria
7030867,Looking for a Female Roommate in Heart of Astoria
761835,Apto 2 bed $80 night per person
11653913,spacious 1 BR heart of astoria
10997710,Beautiful Astoria studio
17944418,Convenient bedroom in NYC
8507219,"NYC Room, NO Extra or Hidden Fees"
16633667,"Private, clean, cozy bedroom | Astoria, Queens"
7621847,Sunny Room to Rent in Cool Astoria!
4476115,1BR Apt Avail Dec 23 through Jan 1!
6933582,Cozy home in the heart of Astoria
3263561,Sunny room 15min to Manhattan
14179931,"Cozy, Cute Private Bedroom in Cool Astoria, NYC!"
17682843,Astoria close to Manhattan
6934770,Cozy and Large 1 bedroom Apartment
14274748,Long Island City/Astoria Apartment
17944776,Free-Lancers Delight!
1953928,Huge 2 Bedrooms NYC 
17013882,"Great bedroom in Astoria, 20 min from Central Park"
1428371,Great  Room in Astoria - New York
17779997,Beautiful and Private Apartment in Astoria
12176874,JR. 1 Bedroom @ Heart of Astoria
2346416,Lovely private room close to Manhattan
16204969,Master Bedroom w/ Private Bathroom and Subway
4705670,"Private, quiet spacious room with tons of sun"
4824013,Amazing location - 15 min from city
7325889,Clean Cozy Room with TV in NYC!
4573354,"Beautiful Studio in Astoria, Queens"
10995810,Room in gorgeous Astoria Apartment
1427401,Fully furnished private apartment..
15978933,"Bright, Spacious, Railroad Room"
5085965,Amazing New 1BDR Mins to Manhattan
12099852,Spacious 1 Bedroom with City Views
771650,NYC + Astoria Large Studio + Room
771647,NYC + Astoria Best Super Cozy Room
14402914,Large Room with 3 Beds in Safe Cool Astoria NYC
11357269,OneBedroomAstoria15minFromManhattan
2738669,Astoria Bedroom
16368541,1st Floor room available in 3 br 2bath Apt
4047638,Astoria( home sweet home) great for long stay.
12175173,Nice and comfort aparment
14139948,"COZY, QUIET ONE BEDROOM IN ASTORIA"
7979433,Comfortable 1B in hot-spot Queens
17417489,Huge Bedroom in Astoria
13223095,Charming Bedroom in a Spacious Apartment
17941637,1 bd. apt in Astoria (10' to manhattan)
17669212,"Gorgeous, furnished, in Astoria!"
115748,1 BDRM Apt Astoria-Weekend Sublease
15703117,"Private Large Room with Private Bathroom/TV,NYC!"
9652949,BIG & COZY ROOM 10 MIN TO MANHATTAN
7462785,Cute Small Room for Rent in Astoria
14371812,Comfortable One Private Bedroom near Manhattan
9551158,Quiet sunny 1bedroom apt in Astoria
771625,NYC + Astoria  Large Private Room 
10417282,Best bedroom in heart of Astoria
506527,Modern Sunny 2 Bedroom Apartment
14240385,Bright sunny room minutes to Midtown Manhattan
1221511,Large Astoria 1 bedroom w/balcony
1687108,"Private, Clean and Comfortable NY"
7050959,CUTE ROOM for RENT
3914161,Private room 10 min to Manhattan
4831703,Astoria Gem: 15min. From Manhattan
7402303,Artists' Sunny 1-BR Apt in Astoria
13997552,Modern 2-bedroom apartment near subway and parks
11778074,#7-Cozy & Spacious Duplex in Astoria
5879750,Cozy/Roomy 1-bedroom Apt - Astoria
13612947,Spacious apartment in Astoria
